state,date,poverty_absolute,poverty_hardcore,poverty_relative
Selangor,2016-01-01,0.0,0.0,10.7
Selangor,2019-01-01,1.2,0.2,15.3
Selangor,2020-01-01,1.7,0.3,13.9
Selangor,2022-01-01,1.5,0.0,14.2
Terengganu,1970-01-01,68.9,,
Terengganu,1976-01-01,60.3,,
Terengganu,1979-01-01,53.1,,
Terengganu,1984-01-01,28.9,11.6,
Terengganu,1987-01-01,36.1,15.1,
Terengganu,1989-01-01,31.2,10.4,
Terengganu,1992-01-01,25.6,9.2,
Terengganu,1995-01-01,23.4,7.5,18.7
Terengganu,1997-01-01,17.3,5.0,19.8
Terengganu,1999-01-01,14.9,4.9,18.7
Terengganu,2002-01-01,10.7,2.8,15.8
Terengganu,2004-01-01,15.4,4.4,16.1
Terengganu,2007-01-01,6.4,0.8,13.3
Terengganu,2009-01-01,4.0,0.5,12.1
Terengganu,2012-01-01,1.7,0.2,20.5
Terengganu,2014-01-01,0.6,0.1,13.7
Terengganu,2016-01-01,0.4,0.0,10.2
Terengganu,2019-01-01,6.1,0.3,8.2
Terengganu,2020-01-01,12.0,1.1,10.7
Terengganu,2022-01-01,6.2,0.2,6.9
W.P. Kuala Lumpur,1984-01-01,4.9,1.4,
W.P. Kuala Lumpur,1987-01-01,5.2,1.0,
W.P. Kuala Lumpur,1989-01-01,3.8,0.5,
W.P. Kuala Lumpur,1992-01-01,1.7,0.3,
W.P. Kuala Lumpur,1995-01-01,0.5,0.0,17.3
W.P. Kuala Lumpur,1997-01-01,0.1,0.1,18.8
W.P. Kuala Lumpur,1999-01-01,2.3,0.0,17.4
W.P. Kuala Lumpur,2002-01-01,0.5,0.0,18.2
W.P. Kuala Lumpur,2004-01-01,1.5,0.2,18.7
W.P. Kuala Lumpur,2007-01-01,1.5,0.1,17.8
W.P. Kuala Lumpur,2009-01-01,0.7,0.1,16.8
W.P. Kuala Lumpur,2012-01-01,0.8,0.1,12.3
W.P. Kuala Lumpur,2014-01-01,0.1,0.0,13.3
W.P. Kuala Lumpur,2016-01-01,0.0,0.0,13.8
W.P. Kuala Lumpur,2019-01-01,0.2,0.0,10.6
W.P. Kuala Lumpur,2020-01-01,0.4,0.0,9.1
W.P. Kuala Lumpur,2022-01-01,1.4,0.0,12.7
W.P. Labuan,1999-01-01,,,21.6
W.P. Labuan,2002-01-01,,,21.6
W.P. Labuan,2004-01-01,2.7,0.2,14.1
W.P. Labuan,2007-01-01,4.2,0.1,15.3
W.P. Labuan,2009-01-01,4.3,0.7,17.9
W.P. Labuan,2012-01-01,1.1,0.0,17.6
W.P. Labuan,2014-01-01,1.1,0.1,14.1
W.P. Labuan,2016-01-01,0.0,0.0,11.6
W.P. Labuan,2019-01-01,3.1,0.0,12.9
W.P. Labuan,2020-01-01,5.2,0.1,11.8
W.P. Labuan,2022-01-01,2.5,0.0,7.0
W.P. Putrajaya,2007-01-01,0.0,0.0,16.6
W.P. Putrajaya,2009-01-01,0.0,0.0,11.1
W.P. Putrajaya,2012-01-01,0.0,0.0,4.9
W.P. Putrajaya,2014-01-01,0.0,0.0,7.9
W.P. Putrajaya,2016-01-01,0.0,0.0,6.8
W.P. Putrajaya,2019-01-01,0.4,0.0,12.1
W.P. Putrajaya,2020-01-01,0.2,0.0,11.2
W.P. Putrajaya,2022-01-01,0.1,0.0,11.4
